precision,recall
0.1455,1.0
0.1457185778668002,1.0
0.14586466165413534,1.0
0.14593781344032097,1.0
0.14601103863522327,1.0
0.14637826961770622,1.0
0.1466733870967742,1.0
0.1468955073195356,1.0
0.14726720647773278,1.0
0.14786585365853658,1.0
0.14824248599083037,1.0
0.14884910485933503,1.0
0.14969135802469136,1.0
0.15015479876160992,1.0
0.15046535677352638,1.0
0.15062111801242237,1.0
0.15109034267912771,1.0
0.15148360229047372,1.0
0.15195822454308094,1.0
0.15219665271966526,1.0
0.15267576075550893,1.0
0.15307732772225144,1.0
0.15348101265822786,1.0
0.1536430834213305,1.0
0.1540497617787189,1.0
0.15437665782493368,1.0
0.15478723404255318,1.0
0.15495207667731628,1.0
0.1552,1.0
0.15544871794871795,1.0
0.15561497326203208,1.0
0.15578158458244112,1.0
0.15611587982832617,1.0
0.15619967793880837,1.0
0.1567043618739903,1.0
0.1567887931034483,1.0
0.15712742980561556,1.0
0.1572972972972973,1.0
0.15746753246753248,1.0
0.15798045602605862,1.0
0.15806626833242804,1.0
0.15823817292006526,1.0
0.15858310626702998,1.0
0.15866957470010906,1.0
0.15884279475982532,1.0
0.15892954669579465,1.0
0.15901639344262294,1.0
0.15910333515582287,1.0
0.15919037199124728,1.0
0.1592775041050903,1.0
0.15945205479452054,1.0
0.15962698848052662,1.0
0.1597145993413831,1.0
0.15980230642504117,1.0
0.159978009895547,1.0
0.16024229074889867,1.0
0.16068470458310327,1.0
0.16086235489220563,1.0
0.1609513274336283,1.0
0.16130820399113083,1.0
0.16166666666666665,1.0
0.16193656093489148,1.0
0.16211699164345403,1.0
0.16238839285714285,1.0
0.16256983240223463,1.0
0.16284275321768327,1.0
0.1629339305711086,1.0
0.16320807627593942,1.0
0.16339135317237508,1.0
0.1637591446257738,1.0
0.16412859560067683,1.0
0.16422121896162528,1.0
0.16449971735443752,1.0
0.16477916194790487,1.0
0.16487252124645893,1.0
0.16515323496027243,1.0
0.16552901023890784,1.0
0.16562322140011382,1.0
0.16600114090131204,1.0
0.16638078902229847,1.0
0.16647597254004576,1.0
0.16704936854190586,1.0
0.16733755031627373,1.0
0.1676267281105991,1.0
0.16791690709751875,1.0
0.1681109185441941,1.0
0.16820809248554913,1.0
0.1684027777777778,1.0
0.16869565217391305,1.0
0.1688914683691236,1.0
0.16898954703832753,1.0
0.16938300349243307,1.0
0.16977829638273045,1.0
0.17007597895967272,1.0
0.17037470725995316,1.0
0.17067448680351907,1.0
0.17087492660011744,1.0
0.1710758377425044,1.0
0.1711764705882353,1.0
0.17147908073070123,1.0
0.17218934911242603,1.0
0.17229129662522202,1.0
0.17259786476868327,1.0
0.17280285035629453,1.0
0.17290552584670232,1.0
0.17331745086360928,1.0
0.17373134328358208,1.0
0.1741472172351885,1.0
0.17446043165467626,1.0
0.17456508698260348,1.0
0.17466986794717887,1.0
0.17487980769230768,1.0
0.17509025270758122,1.0
0.1753012048192771,1.0
0.17551266586248493,1.0
0.1756185878092939,1.0
0.17583081570996978,1.0
0.17604355716878403,1.0
0.17636363636363636,1.0
0.17647058823529413,1.0
0.17657766990291263,1.0
0.1767922235722965,1.0
0.17689969604863223,1.0
0.177007299270073,1.0
0.17711503347534996,1.0
0.17722289890377588,1.0
0.1773308957952468,1.0
0.1774390243902439,1.0
0.17754728492983526,1.0
0.17765567765567766,1.0
0.1777642028100183,1.0
0.17787286063569682,1.0
0.17874692874692874,1.0
0.17885679164105717,1.0
0.17896678966789667,1.0
