threshold,precision,recall
0.0068,0.0582,1.0
0.006805,0.05821164232846569,1.0
0.006806,0.05822328931572629,1.0
0.006809,0.05823494096457875,1.0
0.006813,0.058246597277822255,1.0
0.006815,0.058258258258258255,1.0
0.006824,0.05826992390869043,1.0
0.006837,0.058281594231924694,1.0
0.00684,0.05829326923076923,1.0
0.006845,0.05830494890803446,1.0
0.00685,0.058316633266533066,1.0
0.006852,0.05832832230907998,1.0
0.006853,0.058351714457589736,1.0
0.006858,0.05836341756919374,1.0
0.006859,0.058375125376128385,1.0
0.00686,0.058398555087296806,1.0
0.006861,0.05841027699718988,1.0
0.006864,0.05842200361373218,1.0
0.006865,0.058433734939759036,1.0
0.006867,0.05844547097810805,1.0
0.00687,0.05846895720313442,1.0
0.006873,0.05848070739549839,1.0
0.006874,0.05850422195416164,1.0
0.006875,0.05851598632616127,1.0
0.006877,0.0585513078470825,1.0
0.006883,0.058563091165224394,1.0
0.006885,0.058574879227053143,1.0
0.006887,0.058586672035433864,1.0
0.006888,0.05861027190332326,1.0
0.00689,0.05862207896857373,1.0
0.006891,0.05863389079185976,1.0
0.006892,0.058645707376058044,1.0
0.006894,0.05865752872404757,1.0
0.006895,0.05868118572292801,1.0
0.006896,0.05872855701311806,1.0
0.006898,0.058740411788453774,1.0
0.006899,0.05875227135069655,1.0
0.006901,0.05876413570274636,1.0
0.006902,0.05877600484750555,1.0
0.006905,0.058787878787878785,1.0
0.006907,0.058799757526773085,1.0
0.006908,0.05881164106709782,1.0
0.006909,0.058823529411764705,1.0
0.00691,0.05883542256368783,1.0
0.006911,0.05884732052578362,1.0
0.006914,0.058859223300970875,1.0
0.006915,0.0588949605343048,1.0
0.006916,0.05891880947560235,1.0
0.00692,0.058930741190765495,1.0
0.006921,0.05896656534954407,1.0
0.006922,0.05897851641670045,1.0
0.006924,0.05900243309002433,1.0
0.006925,0.059026369168357,1.0
0.006926,0.05905032467532467,1.0
0.006927,0.05906230972194033,1.0
0.006928,0.059098294069861904,1.0
0.006929,0.05912230800487606,1.0
0.00693,0.05914634146341463,1.0
0.006931,0.059158365521447445,1.0
0.006932,0.059170394469296464,1.0
0.006933,0.059182428309945086,1.0
0.006936,0.059218559218559216,1.0
0.006938,0.059242671009771986,1.0
0.006939,0.05925473427000611,1.0
0.00694,0.05926680244399185,1.0
0.006943,0.059290953545232276,1.0
0.006944,0.059351417499490106,1.0
0.006948,0.05936352509179926,1.0
0.006953,0.059387755102040814,1.0
0.006954,0.05939987752602572,1.0
0.006956,0.0594241372268736,1.0
0.006958,0.059460563955864326,1.0
0.006959,0.05947271612507664,1.0
0.006961,0.05950920245398773,1.0
0.006963,0.05952137451421559,1.0
0.006964,0.05953355155482815,1.0
0.006966,0.05955792058943921,1.0
0.006968,0.05958230958230958,1.0
0.006969,0.05959451157075568,1.0
0.00697,0.05960671855796804,1.0
0.006971,0.059618930547019056,1.0
0.006972,0.05965559655596556,1.0
0.006974,0.05966782858314538,1.0
0.006975,0.05969230769230769,1.0
0.006976,0.05971680689513647,1.0
0.006978,0.05976586568083796,1.0
0.006979,0.05977814297452753,1.0
0.006982,0.0597904253133347,1.0
0.006983,0.059802712700369916,1.0
0.006986,0.05985191279308926,1.0
0.006987,0.0598642254680107,1.0
0.006988,0.059876543209876544,1.0
0.006989,0.05991352686843731,1.0
0.006991,0.05996290954049042,1.0
0.006992,0.06,1.0
0.006993,0.06001237368529594,1.0
0.006995,0.06002475247524752,1.0
0.006997,0.060037136373014235,1.0
0.006998,0.060061919504643964,1.0
0.007002,0.06007431874483898,1.0
0.007003,0.060099132589838906,1.0
0.007004,0.06011154720099153,1.0
0.007005,0.06013639181649101,1.0
0.007006,0.06014882182720132,1.0
0.007009,0.06018614270941055,1.0
0.00701,0.06021104903786468,1.0
0.007011,0.060260923586663906,1.0
0.007013,0.06031088082901554,1.0
0.007016,0.06033589052456977,1.0
0.007017,0.06038597219340112,1.0
0.007018,0.06041104421839319,1.0
0.007019,0.06042358803986711,1.0
0.00702,0.06043613707165109,1.0
0.007023,0.06046125077913983,1.0
0.007024,0.0604989604989605,1.0
0.007025,0.06051154086088584,1.0
